Tên sản phẩm,Giá bán cũ,Giá mới,warranty,condition,Xuất xứ,Thời điểm ra mắt,Thời gian bảo hành (tháng),Hướng dẫn bảo quản,Hướng dẫn sử dụng,Kích thước,Trọng lượng sản phẩm,Chuẩn kháng nước / Bụi bẩn,Chất liệu,Phiên bản CPU,Loại CPU,Số nhân,Tốc độ tối đa,RAM,Kích thước màn hình,Công nghệ màn hình,Chuẩn màn hình,Độ phân giải,Màu màn hình,Tần số quét,Chất liệu mặt kính,Loại cảm ứng,Độ sáng,Chip đồ hoạ (GPU),Dung lượng (ROM),Bộ nhớ còn lại,Danh bạ lưu trữ,Thẻ nhớ ngoài,Số camera sau,Camera,Resolution,Aperture,Quay phim,Tính năng,Số Camera Selfie,Cảm biến,Bảo mật,Hỗ trợ mạng,Cổng giao tiếp,Wifi,GPS,Bluetooth,Kết nối khác,Số khe SIM,Thẻ SIM,Loại PIN,Dung lượng pin,OS,Version,Phụ kiện trong hộp,Hỗ trợ thẻ nhớ tối đa,Tỷ lệ diện tích sử dụng màn hình,Loại RAM,Kích thước màn hình phụ,Tỷ lệ màn hình,Mật độ điểm ảnh,Độ tương phản,Độ phủ màu,Pixel size,CPU,Pixel Size,Camera Type 1,Camera Type 2,Camera Type 3,Quay phim camera sau,Quay phim camera seflie,Tính năng camera selfie,Tính năng đặc biệt,Sensor,Type,Quay phim camera selfie
Xiaomi Redmi Note 13 6GB Demo,3.278.000 ₫,Not available,3 tháng,Trầy xước ít,Trung Quốc,01/2024,3,,,162.24 x 75.55 x 7.97 mm,188.5 g,IP54,Khung máy: Nhựa Mặt lưng máy: Nhựa,Snapdragon 685,,,,6 GB,6.67 inch,AMOLED,FHD+,1080 x 2400 Pixels,,120,,,,,128 GB,Khoảng 113 GB,Không giới hạn,MicroSD,Triple rear camera,Standard - Ultra Wide - Macro lens,108.0 MP - 8.0 MP - 2.0 MP - 16.0 MP,,1080p@60fps - Quay phim FullHD,HDR,Single selfie camera,Hồng ngoại,Mở khóa vân tay dưới màn hình,4G,Cổng sạc: Type C,802.11 a/b/g/n/ac,GPS GLONASS,v5.1,,2,2 Nano SIM,,5000 mAh,Android,Android 13.0,Sạc Cáp Ốp lưng Sách HDSD Que lấy SIM,512 GB,,,,,,,,,,,,,,,,,,,,
Xiaomi Redmi A3 4GB Demo,2.090.000 ₫,Not available,6 tháng,Trầy xước ít,Trung Quốc,03/2024,6,,,168.4 x 76.3 x 8.3,199 g,,Mặt lưng máy: Kính Mặt lưng máy: Da,MediaTek Helio G36,Octa-Core,8,2.2 GHz,4 GB,6.71 inch,IPS LCD,HD+,720 x 1650 Pixels,,90,Corning Gorilla Glass,,500 nits,PowerVR GE8320,128 GB,Khoảng 108 GB,,MicroSD,Double rear camera,Ống kính góc rộng - Ống kính phụ trợ,8.0 MP - 0.08 MP - 5.0 MP,ƒ/2.0 - ƒ/2.2,HD 1080p@30fps 720p@30fps - 720p@30fps 1080p@30fps,,Single selfie camera,,Mở khoá vân tay cạnh viền Mở khóa khuôn mặt,4G,Cổng sạc: Type C,Dual-band (2.4 GHz/ 5 GHz),GPS GLONASS GALILEO BEIDOU,v5.4,Jack 3.5 mm,2,,1 viên Lithium polymer,5000 mAh,Android,Android 14,Sạc Dây sạc Sách HDSD Que lấy SIM,1 TB,,,,,268 ppi,1500:1,,,,,,,,,,,,,,
Xiaomi Redmi 12C 4GB,1.749.000 ₫,3.590.000 ₫,1 tháng,Trầy xước ít,Trung Quốc,01/2023,1,"Để nơi khô ráo, nhẹ tay, dễ vỡ.",Xem trong sách hướng dẫn sử dụng,168.76 x 76.41 x 8.77 mm,192 g,,,Helio G85,Octa-Core,8,2.0 GHz,4 GB,6.71 inch,IPS LCD,HD+,720 x 1650 Pixels,,60,,,,Mali-G52 MC2,64 GB,,Không giới hạn,MicroSD,Double rear camera,Standard - Ống kính phụ trợ,50.0 MP - 0.08 MP - 5.0 MP - 5.0 MP,ƒ/1.8 - ƒ/2.2,HD 720p@30fps FullHD 1080p@30fps - Quay phim FullHD,,Single selfie camera,Cảm biến vân tay Cảm biến khí áp kế Cảm biến tiệm cận Cảm biến gia tốc,Mở khóa vân tay,4G,Cổng sạc: Micro-USB,802.11 a/b/g/n/ac,GLONASS BDS GALILEO GPS,v5.1,Jack 3.5 mm,2,2 Nano SIM,,5000 mAh,Android,Android 12 (MIUI 13),Sách HDSD Cáp Sạc,,,,,20.6:9,,1500:1,70% NTSC,,,,,,,,,,,,,
Realme C51 3GB,2.465.430 ₫,4.490.000 ₫,6 tháng,Trầy xước nhiều,Trung Quốc,01/2023,6,,,167.2 x 76.7 x 7.99 mm,186 g,,Khung máy: Nhựa,Unisoc T612,Octa-Core,8,1.8 GHz,6 GB,6.74 inch,IPS LCD,HD,720 x 1600 Pixels,16.7 Triệu,90,,,,IMG GE8320,256 GB,Khoảng 230 GB,,MicroSD,Double rear camera,Standard,50.0 MP - 2.0 MP - 5.0 MP,ƒ/1.8 - ƒ/2.4 - ƒ/2.2,,Ban đêm (Night Mode) Toàn cảnh (Panorama) Chuyên nghiệp (Pro) Trôi nhanh thời gian (Time Lapse) Chụp chân dung HDR Nhận dạng cảnh AI Bộ lọc màu Quay chậm (Slow Motion) - Nhận diện khuôn mặt Làm đẹp (Beautify) HDR Điều khiển bằng động tác Xoá phông Quay video HD Hiệu ứng Bokeh Bộ lọc màu Quay video CIF,Single selfie camera,Cảm biến vân tay,,4G,Type C,802.11 a/b/g/n/ac,GPS A-GPS GLONASS BEIDOU GALILEO,v5.0,,2,,Lithium polymer,5000 mAh,Android,Android 13.0,Ốp lưng Sạc Sách HDSD,,,,,,,,,,2 x Cortex A75 1.8 GHz + 6 x Cortex A55 1.8 GHz,,,,,,,,,,,
Xiaomi Poco M6 Pro 8GB Demo,,Not available,4 tháng,Trầy xước ít,Trung Quốc,01/2024,4,,,161.1 x 74.95 x 7.98,179 g,IP54,Viền máy: Nhựa Mặt lưng máy: Kính,MediaTek Helio G99-Ultra,,,2.2 GHz,8 GB,6.67 inch,AMOLED,FHD+,1080 x 2400 Pixels,,120,Gorilla Glass 5,,,Mali-G57 MC2,256 GB,Khoảng 223 GB,Không giới hạn,MicroSD,Triple rear camera,Standard - Ultra Wide - Macro lens,64.0 MP - 8.0 MP - 2.0 MP - 16.0 MP,,,Chống rung quang học (OIS),Single selfie camera,Hồng ngoại,Mở khóa vân tay dưới màn hình Mở khóa khuôn mặt,4G,Cổng sạc: Type C,802.11 a/b/g/n/ac,,v5.2,Jack 3.5 mm Slot SIM/thẻ nhớ dùng chung NFC,2,,,5000 mAh,Android,Android 13.0,Dock sạc Dây cáp sạc Ốp lưng Sách HDSD Que lấy SIM,1 TB,,LPDDR4X,,,,5.000.000 : 1,DCI-P3 wide color gamut,,,,,,,,,,,,,
Samsung Galaxy S23 5G,14.058.000 ₫,24.990.000 ₫,8 tháng,Trầy xước ít,Việt Nam / Trung Quốc,2023-02-02,8,"Để nơi khô ráo, nhẹ tay, dễ vỡ.",Xem trong sách hướng dẫn sử dụng,146.3 x 70.9 x 7.6,168 g,IP68,Khung máy: Hợp kim nhôm Mặt lưng máy: Kính,Snapdragon 8 Gen 2,Octa-Core,8,2.2 GHz,8 GB,6.1 inch,Dynamic AMOLED 2X,FHD+,1080 x 2340 Pixels,16 Triệu,120 Hz,Gorilla Glass Victus,Điện dung đa điểm,1200 nits,Adreno 730,256 GB,Khoảng 100 GB,Không giới hạn,Không,Triple rear camera,Standard - Ultra Wide - Telephoto,50.0 MP - 12.0 MP - 10.0 MP - 12.0 MP,ƒ/1.8 - ƒ/2.2 - ƒ/2.4 - ƒ/2.2,4K 2160p@30fps 8K 4320p@24fps HD 720p@30fps 4K 2160p@60fps 4230p@30fps 8K 4230p@30fps FullHD 1080p@30fps FullHD 1080p@60fps FullHD 1080p@240fps - Quay phim 4K Quay phim FullHD,A.I Camera Chống rung quang học (OIS) - Làm đẹp (Beautify) A.I Camera HDR,Single selfie camera,Cảm biến ánh sáng Cảm biến vân tay,Mở khóa khuôn mặt Mở khóa vân tay dưới màn hình,5G 4G,Cổng sạc: Type C,802.11 a/b/g/n/ac/ax Dual-band (2.4 GHz/ 5 GHz),GLONASS A-GPS,v5.3,NFC,1,"2 Nano SIM hoặc 1 eSIM, 1 Nano SIM",Lithium-ion,3900 mAh,Android,Android 13.0,Cáp Que lấy SIM Sách HDSD,,,,,,,,,,,,,,,,,,,,,
Samsung Galaxy A35 5G,5.929.000 ₫,8.290.000 ₫,7 tháng,Không trầy xước,Việt Nam,03/2024,7,"Để nơi khô ráo, nhẹ tay, dễ vỡ.",Xem trong sách hướng dẫn sử dụng,161.7 x 78.0 x 8.2,209 g,,Nhựa tổng hợp,Exynos 1380,Octa-Core,8,,8 GB,6.6 inch,Super AMOLED,FHD+,1080 x 2340 Pixels,16 Triệu,,,,1000 nits,Mali-G68 MP5,128 GB,,Không giới hạn,MicroSD,Triple rear camera,Wide - Depth - Ultra Wide,50.0 MP - 8.0 MP - 5.0 MP,,4K 2160p@30fps,Xóa phông Tự động lấy nét (AF) Toàn cảnh (Panorama) Siêu cận (Macro) Chuyên nghiệp (Pro) Ban đêm (Night Mode) Quay siêu chậm (Super Slow Motion) Zoom quang học 10x - Làm đẹp (Beautify) Xoá phông,Single selfie camera,,Mở khóa bằng mật mã Mở khóa vân tay dưới màn hình Mở khóa khuôn mặt,5G,Type C,Wi-Fi Hotspot Wi-Fi Direct 802.11 a/b/g/n/ac/ax Dual-band (2.4 GHz/ 5 GHz),,v5.3,NFC,2,2 Nano SIM,Lithium polymer,5000 mAh,Android,Android 14,Cáp Type C Que lấy SIM Sách HDSD,,,,,,,,,,,,,,,,,,,,,
Honor X6A 4GB,1.851.630 ₫,3.490.000 ₫,5 tháng,Trầy xước ít,Trung Quốc,T8.2023,5,"Để nơi khô ráo, nhẹ tay, dễ vỡ.",Xem trong sách hướng dẫn sử dụng,163.32 x 75.07 x 8.35,188 g,,Nhựa,MediaTek Helio G36,Octa-Core,8,,4 GB,6.56 inch,TFT LCD,FHD,720 x 1612 Pixels,16.7 Triệu,90 Hz,,Điện dung đa điểm,,PowerVR GE8320,128 GB,,,,Triple rear camera,Standard - Macro lens - Depth,50.0 MP - 2.0 MP - 2.0 MP - 5.0 MP,ƒ/1.8 - ƒ/2.4 - ƒ/2.4 - ƒ/2.2,1080p@30fps,Flash LED HDR Toàn cảnh (Panorama) Chụp chân dung - Chế độ chân dung,,,Mở khóa khuôn mặt,3G 4G,,Dual-band (2.4 GHz/ 5 GHz) 802.11 a/b/g/n/ac,GPS BEIDOU A-GPS GALILEO GLONASS,v5.1,Jack 3.5 mm,2,2 Nano SIM,Lithium polymer,5200 mAh,Android,Android 13.0,Thẻ bảo hành Ốp lưng Sách HDSD Sạc Que lấy SIM,,84%,,,20:9,269 ppi,,,,4 x Cortex A53 2.0 GHz + 4 x Cortex A53 1.5 GHz,,,,,,,,,,,
iPhone 15 Pro Max,26.175.820 ₫,34.990.000 ₫,12 tháng,Trầy xước ít,Trung Quốc,09/2023,12,,,159.9 x 76.7 x 8.25 mm,221 g,IP68,Khung máy: Titanium,Apple A17 Pro,6 - Core,,,8 GB,6.7 inch,OLED,Super Retina XDR,2796 x 1290 Pixels,,,Phủ Ceramic,Điện dung đa điểm,2000 nits,,256 GB,,,,Triple rear camera,,48.0 MP - 12.0 MP - 12.0 MP - 12.0 MP,,,Chụp chân dung Quay chậm (Slow Motion) HDR Chụp góc rộng (Wide) Chống rung quang học (OIS) Ổn định hình ảnh quang học Trôi nhanh thời gian (Time Lapse) Toàn cảnh (Panorama) Tự động lấy nét (AF) Chạm lấy nét Ban đêm (Night Mode) Chụp chuyển động Chụp góc siêu rộng (Ultrawide) Chuyên nghiệp (Pro) Flash LED,Single selfie camera,Cảm biến khí áp kế Con quay hồi chuyển Cảm biến ánh sáng Cảm biến gia tốc Cảm biến la bàn Cảm biến tiệm cận,Mở khóa bằng mật mã Mở khóa khuôn mặt,5G,Cổng sạc: Type C Audio Jack: Type C,Wifi 6,GALILEO GLONASS QZSS BEIDOU GPS,v5.3,NFC,1,"1 eSIM, 1 Nano SIM",Lithium-ion,29 Giờ,iOS,iOS 17,Cáp USB-C to USB-C Que lấy SIM Sách HDSD,,,,,,,2.000.000:1,,,,,Standard,Ultra Wide,Telephoto,4K 2160p@25fps 4K 2160p@24fps 4K 2160p@60fps 4K 2160p@30fps FullHD 1080p@25fps FullHD 1080p@30fps FullHD 1080p@60fps HD 720p@30fps,Quay phim 4K Quay phim FullHD,Chụp góc rộng (Wide) Tự động lấy nét (AF) Ban đêm (Night Mode) HDR Flash màn hình Ổn định hình ảnh quang học Chế độ chân dung,,,,
Samsung Galaxy M34 5G,3.782.130 ₫,7.990.000 ₫,1 tháng,Trầy xước ít,Việt Nam / Trung Quốc,09/2023,1,"Để nơi khô ráo, nhẹ tay, dễ vỡ.",Xem trong sách hướng dẫn sử dụng,161.7 x 77.2 x 8.8,208 g,,Nhựa Polycarbonate,Exynos 1280,,8,,8 GB,6.5 inch,Super AMOLED,FHD+,1080 x 2400 Pixels,,120 Hz,,,1000 nits,,128 GB,,,MicroSD,Triple rear camera,Wide - Ultra Wide - Zoom,50.0 MP - 8.0 MP - 2.0 MP - 13.0 MP,ƒ/1.8 - ƒ/1.8 - ƒ/2.4 - ƒ/2.2,,,,,,5G,Type C,802.11 a/b/g,GLONASS,Có,,2,2 Nano SIM,,6000 mAh,Android,Android 13.0,,1 TB,,,,,,,,,,,,,,,,,,,,
Điện thoại OPPO A78 8GB-256GB Xanh - CPH2565 Demo,3.706.560 ₫,Not available,1 tháng,,Trung Quốc,07/2023,1,"Để nơi khô ráo, nhẹ tay, dễ vỡ.",Xem trong sách hướng dẫn sử dụng,160 x 73.23 x 7.93 mm,180 g,IP54,Mặt lưng máy: Thủy tinh hữu cơ Khung máy: Hợp kim,Snapdragon 680,,8,2.40 GHz,8 GB,6.4 inch,Màn hình chính: AMOLED,Màn hình chính: FHD+,Màn hình chính: 1080 x 2400 Pixels,16 Triệu,90 Hz,Màn hình chính: Gorilla Glass 5,Điện dung đa điểm,,Adreno 610,256 GB,,Không giới hạn,MicroSD,Double rear camera,Standard - Bokeh,50.0 MP - 2.0 MP - 8.0 MP,,HD 720p@30fps FullHD 1080p@30fps - Quay phim FullHD Quay phim HD,,Single selfie camera,Cảm biến vân tay Cảm biến gia tốc Cảm biến trọng lực Cảm biến tiệm cận Cảm biến ánh sáng,Mở khóa khuôn mặt Mật khẩu Mở khóa vân tay dưới màn hình,4G,Type C,Dual-band (2.4 GHz/ 5 GHz) 802.11 a/b/g/n/ac,,v5.0,,2,2 Nano SIM,Lithium polymer,5000 mAh,Android,Android 13.0 (ColorOS 13.1),Sách HDSD Ốp lưng Sạc Que lấy SIM,1 TB,,,,,,,,,,,,,,,,,,,,
Samsung Galaxy S24 Plus 5G,15.685.340 ₫,26.990.000 ₫,4 tháng,Trầy xước ít,Việt Nam / Trung Quốc,01/2024,4,"Để nơi khô ráo, nhẹ tay, dễ vỡ.",Xem trong sách hướng dẫn sử dụng,75.9 x 158.5 x 7.7,196 g,IP68,Khung máy: Hợp kim nhôm,Exynos 2400,,8,3.2 GHz,12 GB,6.7 inch,FHD+,Dynamic AMOLED 2X,3120 x 1440 Pixels,16 Triệu,120,Corning Gorilla Glass Victus,,2600 nits,Xclipse 940,256 GB,,Không giới hạn,Không,Triple rear camera,Wide - Ultra Wide - Telephoto,50 MP - 12.0 MP - 10.0 MP - 12.0 MP,ƒ/1.8 - ƒ/2.2 - ƒ/2.4 - ƒ/2.2,UHD 8K (7680 x 4320)@30fps - Quay film chân dung,"Zoom quang học 3x Chế độ Super HDR Trợ lí Chỉnh ảnh (Gợi ý chỉnh sửa, Hậu kì sáng tạo) Chống rung kỹ thuật số AI VDIS và quang học OIS Toàn cảnh (Panorama) Chụp góc siêu rộng (Ultrawide) Ban đêm (Night Mode) Chụp hình & quay phim với Portrait AI Zoom kĩ thuật số 30x Xóa phông Chụp chân dung Chuyên nghiệp (Pro) Chạm lấy nét Quay siêu chậm (Super Slow Motion) Trôi nhanh thời gian (Time Lapse) - Chế độ chân dung Ban đêm (Night Mode) Làm đẹp (Beautify) Chụp bằng cử chỉ - Phiên dịch Trực tiếp Khoanh Vùng Search Đa năng Trợ lý Chat thông minh Trợ lý Chỉnh ảnh Chặn tin nhắn Chặn cuộc gọi Samsung Wallet (Samsung Pay) Samsung DeX Trợ lý ảo Samsung Bixby Thu nhỏ màn hình sử dụng một tay AKG Dolby Ghi âm cuộc gọi Sạc nhanh 45W Màn hình luôn bật (Alway on display)",Single selfie camera,,Mở khóa vân tay dưới màn hình Mở khóa khuôn mặt,4G 5G,1 Type C,"802.11 a/b/g/n/ac/ax, 2x2 MIMO Wi-Fi Hotspot Wi-Fi Direct",GPS GLONASS BEIDOU GALILEO QZSS,v5.3,NFC Bluetooth,1,"1 eSIM, 1 Nano SIM",Lithium-ion,4900 mAh,Android,Android 14,Que lấy SIM Sách HDSD Cáp Type C,,,,,,,,,2.00 µm - 1.00 µm - 1.12 µm,1 x 3.2 GHz + 2 x 2.9 GHz + 3 x 2.6 GHz + 2 x 1.95 GHz,1.40 µm,,,,,,,,,,
Nokia 110 DS Pro 4G,528.000 ₫,750.000 ₫,11 tháng,Trầy xước ít,Trung Quốc,2023,11,"Để nơi khô ráo, nhẹ tay, dễ vỡ.",Xem trong sách hướng dẫn sử dụng,,94.5 g,Không,Nhựa,,,,,48 MB,1.77 inch,,QQVGA,120 x 160 Pixels,,,,,,,128 MB,,,MicroSD,,,,,,,,,,4G 3G,Micro-USB,,,v5.0,Jack 3.5 mm,2,2 Nano SIM,Lithium-ion,1450 mAh,S30+,Nokia S30+,Sạc Pin rời Sách HDSD,32 GB,,,,,,,,,,,,,,,,,,,,
iPhone 11,8.516.200 ₫,13.990.000 ₫,12 tháng,Trầy xước ít,Trung Quốc,09/2019,12,,,75.7 x 8.3 x 150.9,194 g,IP68,Mặt lưng máy: Kính Viền máy: Nhôm,Apple A13 Bionic,Hexa-Core,6,2.65 GHz,4 GB,6.1 inch,IPS LCD,Liquid Retina HD,828 x 1792 Pixels,16 Triệu,,Kính cường lực,Điện dung đa điểm,625 nits,Apple GPU 4 nhân,128 GB,,Tùy bộ nhớ,Không,Double rear camera,,12.0 MP - 12.0 MP - 12.0 MP,ƒ/1.8 - ƒ/2.4 - ƒ/2.2,,Toàn cảnh (Panorama) Chụp chân dung Quay chậm (Slow Motion) HDR Ban đêm (Night Mode) Zoom quang học A.I Camera Chụp góc siêu rộng (Ultrawide) Chụp góc rộng (Wide) Flash LED Tự động lấy nét (AF) Nhận diện khuôn mặt Chống rung quang học (OIS) Trôi nhanh thời gian (Time Lapse) Xóa phông Nhãn dán (AR Stickers),Single selfie camera,Con quay hồi chuyển Cảm biến trọng lực Cảm biến tiệm cận Cảm biến ánh sáng Cảm biến la bàn,Mở khóa bằng mật mã Mở khóa khuôn mặt,4G,,802.11 ax,GPS,v5.0,Radio FM NFC,1,"1 eSIM, 1 Nano SIM",Lithium-ion,3110 mAh,iOS,iOS 14,Cáp Que lấy SIM Sách HDSD,,,LPDDR4X,,19.5:9,324 ppi,1400:1,100% DCI-P3,1.40 µm,2 x Thunder 2.65 GHz + 4 x Lightning 1.8 GHz,,Wide,Ultra Wide,,FullHD 1080p@30fps HD 720p@30fps 4K 2160p@30fps 4K 2160p@24fps 4K 2160p@60fps FullHD 1080p@60fps,Quay phim 4K Quay phim HD Quay phim FullHD,Tự động lấy nét (AF) Chụp góc rộng (Wide) Nhận diện khuôn mặt HDR Xoá phông,,,,
Masstel izi 30 4G,297.000 ₫,600.000 ₫,1 tháng,Trầy xước ít,Trung Quốc,06/2023,1,"Để nơi khô ráo, nhẹ tay, dễ vỡ.",Xem trong sách hướng dẫn sử dụng,128 x 54 x 15,102.9 g,,Nhựa,Unisoc UMS9117,,,,48 MB,2.4 inch,QQVGA,QQVGA,320 x 240 Pixels,,,,,,,128 MB,,500 Số,MicroSD,,,,,,,,,,4G,Type C,,,Có,,2,2 Nano SIM,Lithium-ion,1800 mAh,Không,Không,Pin rời Sạc Sách HDSD,32 GB,,,,,,,,,,,,,,,,,,,,
Honor X7b 8GB,3.333.000 ₫,5.290.000 ₫,8 tháng,Trầy xước ít,Trung Quốc,01/2024,8,"Để nơi khô ráo, nhẹ tay, dễ vỡ.",Xem trong sách hướng dẫn sử dụng,166.7 x 76.5 x 8.24,199 g,,Mặt lưng máy: Nhựa,Snapdragon 680,,8,2.4 GHz,8 GB,6.8 inch,TFT LCD,FHD+,1080 x 2412 Pixels,16.7 Triệu,90,Kính cường lực,Cảm ứng đa điểm,,Adreno 610,256 GB,Khoảng 241 GB,,MicroSD,Triple rear camera,Standard - Ultra Wide - Zoom,108.0 MP - 5.0 MP - 2.0 MP - 8.0 MP,ƒ/1.75 - ƒ/2.2 - ƒ/2.4 - ƒ/2.0,1080p@30fps,Ban đêm (Night Mode) Chụp chân dung Chuyên nghiệp (Pro) Toàn cảnh (Panorama) HDR Bộ lọc màu Hình chìm mờ Trôi nhanh thời gian (Time Lapse) Chụp nụ cười Quay chậm (Slow Motion) Siêu cận (Macro) Chế độ xem kép Quét tài liệu - Chế độ chân dung Bộ lọc màu Chụp nụ cười Gương phản chiếu Hẹn giờ chụp tự động Điều khiển bằng động tác,Single selfie camera,,,4G 3G,,802.11 a/b/g/n/ac,GPS A-GPS GLONASS BEIDOU GALILEO,v5.0,,,,Lithium polymer,6000 mAh,Android,Android 13.0,Ốp lưng Sạc Sách HDSD,1 TB,,,,20:9,,,,,4 x A73 2.4 GHz + 4 x A53 1.9 GHz,,,,,,,,,,,
iPhone 14,13.390.300 ₫,Not available,12 tháng,Trầy xước ít,Trung Quốc,09/2022,12,"Để nơi khô ráo, nhẹ tay, dễ vỡ.",Xem trong sách hướng dẫn sử dụng,,172 g,,,Apple A15 Bionic,,6,,,6.1 inch,,Super Retina XDR,2532 x 1170 Pixels,,,,Điện dung đa điểm,2000 nits,,128 GB,,,Không,Double rear camera,,12.0 MP - 12.0 MP - 12.0 MP,,,,Single selfie camera,Cảm biến tiệm cận,Mở khóa khuôn mặt Mở khóa bằng mật mã,5G,1 Lightning,,,,,1,"1 eSIM, 1 Nano SIM",,20 mAh,iOS,iOS 16,Cáp Sách HDSD Que lấy SIM,,,,,,,,,,,,Wide,Ultra Wide,,FullHD 1080p@30fps 4K 4230p@60fps FullHD 1080p@60fps HD 720p@30fps FullHD 1080p@25fps 4K 4230p@30fps 4K 4320p@24fps,,,,,,
Samsung Galaxy A23 5G,3.613.500 ₫,5.990.000 ₫,1 tháng,Trầy xước ít,Việt Nam / Trung Quốc,2022,1,"Để nơi khô ráo, nhẹ tay, dễ vỡ.",Xem trong sách hướng dẫn sử dụng,164.5 x 76.9 x 8.4 mm,197 g,,,Snapdragon 695 5G,,8,2.4 GHz,4 GB,6.6 inch,PLS LCD,FHD+,1080 x 2408 Pixels,,120 Hz,,Điện dung đa điểm,,,128 GB,,,MicroSD,Quad rear camera,Wide - Ultra Wide - Macro lens - Portrait,50.0 MP - 5.0 MP - 2.0 MP - 2.0 MP - 8.0 MP,ƒ/1.8 - ƒ/2.2 - ƒ/2.4 - ƒ/2.4 - ƒ/2.2,,Chống rung quang học (OIS),Single selfie camera,Cảm biến vân tay,Mật khẩu Mở khóa vân tay,5G,Type C,,GLONASS,,,2,2 Nano SIM,Lithium polymer,5000 mAh,Android,Android 12,Cáp Adapter Sách HDSD,1 TB,83%,,,20:9,400 ppi,,,,,,,,,,,,,,,
Xiaomi Poco M6 Pro 12GB,5.120.500 ₫,7.490.000 ₫,7 tháng,Không trầy xước,Trung Quốc,2024,7,,,161.1 x 74.95 x 7.98,179 g,IP54,Viền máy: Nhựa Mặt lưng máy: Kính,MediaTek Helio G99-Ultra,Octa-Core,8,2.2 GHz,12 GB,6.67 inch,AMOLED,FHD+,1080 x 2400 Pixels,,120,Gorilla Glass 5,,,Mali-G57 MC2,512 GB,Khoảng 223 GB,Không giới hạn,MicroSD,Triple rear camera,Standard - Ultra Wide - Macro lens,64.0 MP - 8.0 MP - 2.0 MP - 16.0 MP,,,Chống rung quang học (OIS),Single selfie camera,Hồng ngoại,Mở khóa vân tay dưới màn hình Mở khóa khuôn mặt,4G,Cổng sạc: Type C,802.11 a/b/g/n/ac,,v5.2,Jack 3.5 mm Slot SIM/thẻ nhớ dùng chung NFC,2,,Lithium polymer,5000 mAh,Android,Android 13.0,Dây cáp sạc Ốp lưng Sách HDSD Que lấy SIM Dock sạc,1 TB,,LPDDR4X,,,,5.000.000 : 1,DCI-P3 wide color gamut,,,,,,,,,,,,,
Vivo Y03 4GB,2.299.000 ₫,2.990.000 ₫,9 tháng,Trầy xước ít,Trung Quốc,03/2024,9,,,163.78 × 75.73 × 8.39 mm,185 g,IP54,Mặt lưng máy: Nhựa Khung máy: Nhựa,Helio G85,Octa-Core,8,90 GHz,4 GB,6.56 inch,LCD,HD+,720 x 1612 Pixels,,,,Điện dung đa điểm,,Mali-G52,64 GB,,,MicroSD,Double rear camera,,13.0 MP - 0.08 MP - 5.0 MP,ƒ/2.2 - ƒ/3.0 - ƒ/2.2,,Chụp chân dung Toàn cảnh (Panorama) Live Photo Quay chậm (Slow Motion) Trôi nhanh thời gian (Time Lapse) Ban đêm (Night Mode) - Live Photo Ban đêm (Night Mode) Chế độ chân dung,,,,3G 4G,Type C,Dual-band (2.4 GHz/ 5 GHz),GPS BEIDOU GLONASS GALILEO QZSS,v5.0,,2,2 Nano SIM,Lithium polymer,5000 mAh,Android,Android 14,,,,LPDDR4X,,,269 ppi,,,,2 x Cortex A75 2.0 GHz + 6 x Cortex A55 1.8 GHz,,,,,,,,,,,
OPPO Reno10 5G 8GB,5.321.250 ₫,9.990.000 ₫,3 tháng,Trầy xước ít,Trung Quốc,07/2023,3,"Để nơi khô ráo, nhẹ tay, dễ vỡ.",Xem trong sách hướng dẫn sử dụng,162.43 x 74.19 x 7.99,185 g,IPX4,Khung máy: Hợp kim Khung máy: Hợp kim,MediaTek Dimensity 7050 5G,Octa-Core,8,2.6 GHz,8 GB,6.7 inch,AMOLED,FHD+,1080 x 2412 Pixels,1 Tỷ,120 Hz,Kính cường lực AGC DT-Star2,Điện dung đa điểm,,Mali-G68 MC4,128 GB,,Không giới hạn,MicroSD,Triple rear camera,Standard - Telephoto - Portrait,64.0 MP - 12.0 MP - 8.0 MP - 32.0 MP,ƒ/1.7 - ƒ/2.0 - ƒ/2.2 - ƒ/2.4,4K 4230p@30fps FullHD 1080p@30fps - Quay phim HD,Ban đêm (Night Mode) - A.I Camera - Mở rộng bộ nhớ RAM,Single selfie camera,Cảm biến ánh sáng,Mật khẩu,4G,Cổng sạc: Type C,Wifi 6 802.11 a/b/g/n/ac/ax,A-GPS GALILEO,v5.3,OTG,2,2 Nano SIM,Lithium polymer,5000 mAh,Android,Android 13.0,Ốp lưng,2 TB,93%,,,,,,,,,,,,,,,,,,,
